Would you be ok with sharing anonymous usage data with the Redash team,Чи можете ви поділитися анонімними даними про використання з командою Redash?,
"Number of users, queries, dashboards, alerts, widgets and visualizations","Кількість користувачів, запити, інформаційні панелі, сповіщення, віджети та візуалізації.",
"Types of data sources, alert destinations and visualizations","Типи джерел даних, місця призначення сповіщень та візуалізації.",
All data is aggregated and will never include any sensitive or private data.,Усі дані зведені і ніколи не включатимуть конфіденційні чи приватні дані.,
Yes,Так,
No,Ні,
You can change this setting anytime from the Organization Settings page,Ви можете будь-коли змінити це налаштування на сторінці Налаштування організації.,
Created By,Ким створено,
Start by selecting the query that you would like to monitor using the search bar.,"Почніть із вибору запиту, який ви хочете відстежувати за допомогою рядка пошуку.",
Keep in mind that Alerts do not work with queries that use parameters.,"Майте на увазі, що сповіщення не працюють із запитами, які використовують параметри.",
Setup Instructions,Інструкції з налаштування,
Add Visualization,Додати візуалізацію,
Visualization Editor,Редактор візуалізації,
Visualization Type,Тип візуалізації,
Visualization Name,Ім'я візуалізації,
Show Results Only,Показати лише результати,
Profile,Профіль,
Getting the data from your datasources.,Отримання даних із ваших джерел даних.,
Refreshed ,Оновлено ,
Ask an account admin to connect a data source,Зверніться до адміністратора облікового запису для підключення джерела даних,
See the big picture,Дивитися загальну картину,
"""Fork ""","""Форк """,
Refresh every,Оновлювати раз у,
"function ii(e,t){return e+(1!==t?""s"":"""")}","function ii(e,t){return e+(1!==t?"""":"""")}",
Cancel,Скасувати,
"a=""Every "".concat(t),r=""Refreshes every "".concat(t)","a=""Раз у "".concat(t),r=""Оновлення раз в "".concat(t)",
